Number of species	9
Number of genes	269226
Number of genes in orthogroups	268872
Number of unassigned genes	354
Percentage of genes in orthogroups	99.9
Percentage of unassigned genes	0.1
Number of orthogroups	27970
Number of species-specific orthogroups	61
Number of genes in species-specific orthogroups	1558
Percentage of genes in species-specific orthogroups	0.6
Mean orthogroup size	9.6
Median orthogroup size	9.0
G50 (assigned genes)	9
G50 (all genes)	9
O50 (assigned genes)	12996
O50 (all genes)	13015
Number of orthogroups with all species present	27789
Number of single-copy orthogroups	27077
Date	2026-03-13
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	127	0.5	806	0.3
'1	27119	97.0	244241	90.8
'2	291	1.0	5292	2.0
'3	216	0.8	5877	2.2
'4	85	0.3	3077	1.1
'5	48	0.2	2187	0.8
'6	18	0.1	980	0.4
'7	14	0.1	882	0.3
'8	16	0.1	1152	0.4
'9	7	0.0	582	0.2
'10	8	0.0	720	0.3
11-15	14	0.1	1602	0.6
16-20	4	0.0	657	0.2
21-50	3	0.0	817	0.3
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	61
2	11
3	5
4	11
5	8
6	5
7	14
8	66
9	27789
