Gene,Strain,Gene_Name,p_val_LRT,FDR_LRT,seed_ortholog,evalue,score,eggNOG_OGs,COG_category,Description,Preferred_name,GOs,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,BRITE,PFAMs
OG0003224,GIFTW,LOC100697711,0.00908003770840025,0.186774222965106,8128.ENSONIP00000002652,6.469999999999999e-196,544,"2CXZ6@1|root,2S0VM@2759|Eukaryota,3A2Z3@33154|Opisthokonta,3BQPV@33208|Metazoa,3D7J0@33213|Bilateria,48EYU@7711|Chordata,49C1Q@7742|Vertebrata,4A3QJ@7898|Actinopterygii",S,Interferon-induced protein 44-like,-,-,-,-,-,-,-,MMR_HSR1
OG0004058,GIFTW,LOC109202271,0.0416206586152089,0.277471057434726,8010.XP_010867535.1,1.21e-13,81.3,"2E05S@1|root,2QPKT@2759|Eukaryota,39IK3@33154|Opisthokonta,3BART@33208|Metazoa,3D0ET@33213|Bilateria,4870J@7711|Chordata,48WAS@7742|Vertebrata,4A7IB@7898|Actinopterygii",T,Immunoglobulin V-set domain,PIGR,"GO:0000323,GO:0001580,GO:0001775,GO:0001792,GO:0002251,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002385,GO:0002386,GO:0002414,GO:0002415,GO:0002443,GO:0002444,GO:0002446,GO:0002682,GO:0002764,GO:0002768,GO:0003008,GO:0003674,GO:0004888,GO:0005102,GO:0005154,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005766,GO:0005768,GO:0005773,GO:0005774,GO:0005886,GO:0005887,GO:0006810,GO:0006887,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007173,GO:0007600,GO:0007606,GO:0008104,GO:0008150,GO:0009593,GO:0009987,GO:0010008,GO:0012505,GO:0012506,GO:0016020,GO:0016021,GO:0016192,GO:0019763,GO:0023052,GO:0030133,GO:0030141,GO:0030659,GO:0030667,GO:0031090,GO:0031224,GO:0031226,GO:0031410,GO:0031982,GO:0032501,GO:0032940,GO:0032991,GO:0033036,GO:0034613,GO:0035577,GO:0036230,GO:0038023,GO:0038093,GO:0038127,GO:0042119,GO:0042221,GO:0042582,GO:0043113,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043235,GO:0043299,GO:0043312,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045055,GO:0045056,GO:0045321,GO:0046903,GO:0048583,GO:0050776,GO:0050789,GO:0050794,GO:0050877,GO:0050896,GO:0050906,GO:0050907,GO:0050909,GO:0050912,GO:0050913,GO:0051179,GO:0051234,GO:0051606,GO:0051641,GO:0051668,GO:0051716,GO:0055037,GO:0055038,GO:0060089,GO:0065007,GO:0070727,GO:0070851,GO:0071944,GO:0072657,GO:0097708,GO:0098588,GO:0098805,GO:0098852,GO:0099503",ko:K13073,"ko04672,map04672",-,-,"ko00000,ko00001,ko04147",V-set
OG0004106,GIFTW,kif5ab,0.0150598388642274,0.200328073182781,106582.XP_004547753.1,0,1933,"COG5059@1|root,KOG0240@2759|Eukaryota,38BVM@33154|Opisthokonta,3BA44@33208|Metazoa,3CTF6@33213|Bilateria,47ZU7@7711|Chordata,4972B@7742|Vertebrata",Z,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family,KIF5A,"GO:0000003,GO:0000226,GO:0000280,GO:0000578,GO:0000902,GO:0000904,GO:0000910,GO:0000932,GO:0001654,GO:0001754,GO:0002064,GO:0002065,GO:0002066,GO:0002376,GO:0002478,GO:0002495,GO:0002504,GO:0003002,GO:0003006,GO:0003674,GO:0003774,GO:0003777,GO:0003824,GO:0005488,GO:0005515,GO:0005523,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005829,GO:0005856,GO:0005871,GO:0005874,GO:0005875,GO:0005929,GO:0005938,GO:0006325,GO:0006342,GO:0006355,GO:0006403,GO:0006810,GO:0006890,GO:0006928,GO:0006935,GO:0006996,GO:0007005,GO:0007010,GO:0007015,GO:0007017,GO:0007018,GO:0007028,GO:0007049,GO:0007097,GO:0007098,GO:0007143,GO:0007154,GO:0007163,GO:0007267,GO:0007268,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007300,GO:0007303,GO:0007304,GO:0007306,GO:0007308,GO:0007309,GO:0007310,GO:0007314,GO:0007315,GO:0007316,GO:0007317,GO:0007350,GO:0007351,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007417,GO:0007420,GO:0007423,GO:0007517,GO:0007519,GO:0007610,GO:0007626,GO:0008017,GO:0008088,GO:0008089,GO:0008090,GO:0008092,GO:0008103,GO:0008104,GO:0008150,GO:0008298,GO:0008345,GO:0008358,GO:0008574,GO:0008595,GO:0009605,GO:0009636,GO:0009653,GO:0009719,GO:0009790,GO:0009792,GO:0009798,GO:0009880,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009948,GO:0009950,GO:0009952,GO:0009953,GO:0009987,GO:0009994,GO:0010033,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010769,GO:0010927,GO:0010939,GO:0010940,GO:0010941,GO:0010942,GO:0010970,GO:0010975,GO:0012505,GO:0014070,GO:0014706,GO:0014902,GO:0014904,GO:0015629,GO:0015630,GO:0015631,GO:0016043,GO:0016192,GO:0016325,GO:0016358,GO:0016458,GO:0016462,GO:0016482,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0016938,GO:0017085,GO:0017111,GO:0019094,GO:0019219,GO:0019222,GO:0019882,GO:0019884,GO:0019886,GO:0019894,GO:0019896,GO:0019953,GO:0021536,GO:0021537,GO:0021543,GO:0021700,GO:0021761,GO:0021766,GO:0021794,GO:0021987,GO:0022008,GO:0022402,GO:0022411,GO:0022412,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0023052,GO:0030010,GO:0030029,GO:0030030,GO:0030036,GO:0030154,GO:0030182,GO:0030424,GO:0030425,GO:0030426,GO:0030427,GO:0030473,GO:0030478,GO:0030537,GO:0030703,GO:0030705,GO:0030707,GO:0030855,GO:0030863,GO:0030864,GO:0030900,GO:0030951,GO:0030952,GO:0031023,GO:0031109,GO:0031175,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031344,GO:0031503,GO:0031967,GO:0031975,GO:0032252,GO:0032253,GO:0032501,GO:0032502,GO:0032504,GO:0032838,GO:0032879,GO:0032984,GO:0032988,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033206,GO:0033267,GO:0034401,GO:0034622,GO:0034643,GO:0035253,GO:0035282,GO:0035371,GO:0035617,GO:0035690,GO:0035770,GO:0036464,GO:0036477,GO:0040011,GO:0040029,GO:0040038,GO:0042221,GO:0042330,GO:0042493,GO:0042623,GO:0042692,GO:0042995,GO:0043005,GO:0043025,GO:0043204,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043900,GO:0043933,GO:0044085,GO:0044087,GO:0044297,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044448,GO:0044463,GO:0044464,GO:0044703,GO:0044877,GO:0045202,GO:0045451,GO:0045471,GO:0045595,GO:0045664,GO:0045814,GO:0045892,GO:0045934,GO:0045995,GO:0046530,GO:0046677,GO:0046785,GO:0046843,GO:0046907,GO:0047496,GO:0047497,GO:0048002,GO:0048193,GO:0048285,GO:0048311,GO:0048312,GO:0048468,GO:0048469,GO:0048471,GO:0048477,GO:0048489,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048592,GO:0048599,GO:0048609,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048741,GO:0048747,GO:0048812,GO:0048813,GO:0048814,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050773,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051012,GO:0051128,GO:0051146,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051239,GO:0051252,GO:0051253,GO:0051258,GO:0051276,GO:0051293,GO:0051294,GO:0051295,GO:0051296,GO:0051299,GO:0051301,GO:0051321,GO:0051640,GO:0051641,GO:0051646,GO:0051647,GO:0051648,GO:0051649,GO:0051650,GO:0051653,GO:0051654,GO:0051656,GO:0051668,GO:0051704,GO:0051716,GO:0051960,GO:0055001,GO:0055002,GO:0060255,GO:0060281,GO:0060284,GO:0060322,GO:0060341,GO:0060429,GO:0060537,GO:0060538,GO:0060810,GO:0060811,GO:0061061,GO:0061564,GO:0061572,GO:0061640,GO:0065003,GO:0065007,GO:0070727,GO:0070828,GO:0070848,GO:0070868,GO:0070887,GO:0071236,GO:0071310,GO:0071361,GO:0071363,GO:0071495,GO:0071826,GO:0071840,GO:0071944,GO:0072384,GO:0080090,GO:0090596,GO:0090723,GO:0090724,GO:0097110,GO:0097120,GO:0097237,GO:0097305,GO:0097306,GO:0097327,GO:0097435,GO:0097440,GO:0097447,GO:0097458,GO:0097479,GO:0097480,GO:0097485,GO:0097549,GO:0098916,GO:0098930,GO:0098935,GO:0098937,GO:0098957,GO:0098971,GO:0099003,GO:0099080,GO:0099081,GO:0099111,GO:0099512,GO:0099513,GO:0099518,GO:0099519,GO:0099536,GO:0099537,GO:0099568,GO:0120025,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:0120111,GO:0140013,GO:0150034,GO:1901654,GO:1901700,GO:1901701,GO:1901950,GO:1902679,GO:1902875,GO:1903008,GO:1903046,GO:1903429,GO:1903506,GO:1903507,GO:1904115,GO:1904580,GO:1904647,GO:1905879,GO:1990049,GO:1990089,GO:1990090,GO:1990752,GO:1990904,GO:1990939,GO:2000026,GO:2000112,GO:2000113,GO:2000241,GO:2001141",ko:K10396,"ko04144,ko04728,map04144,map04728",-,-,"ko00000,ko00001,ko04131,ko04147,ko04812",Kinesin
OG0004223,GIFTW,phc2b,0.0265710688022148,0.212568550417718,32507.XP_006782933.1,0,1390,"28JS2@1|root,2QS5Q@2759|Eukaryota,38GRY@33154|Opisthokonta,3BACB@33208|Metazoa,3CSXV@33213|Bilateria,4877X@7711|Chordata,4922H@7742|Vertebrata,49X13@7898|Actinopterygii",S,Polyhomeotic-like,PHC2,"GO:0000003,GO:0000070,GO:0000151,GO:0000152,GO:0000278,GO:0000280,GO:0000785,GO:0000792,GO:0000819,GO:0000902,GO:0000904,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0003682,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005730,GO:0006325,GO:0006342,GO:0006355,GO:0006996,GO:0007049,GO:0007059,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007292,GO:0007293,GO:0007399,GO:0007417,GO:0008150,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0014070,GO:0016043,GO:0016333,GO:0016458,GO:0019219,GO:0019222,GO:0019899,GO:0019953,GO:0021953,GO:0021954,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0030182,GO:0030707,GO:0030708,GO:0030713,GO:0030855,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031519,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032991,GO:0033301,GO:0033993,GO:0035075,GO:0035102,GO:0035186,GO:0036314,GO:0040029,GO:0042221,GO:0042802,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044464,GO:0044547,GO:0044703,GO:0045448,GO:0045814,GO:0045892,GO:0045934,GO:0048138,GO:0048139,GO:0048232,GO:0048285,GO:0048468,GO:0048477,GO:0048519,GO:0048523,GO:0048609,GO:0048646,GO:0048666,GO:0048699,GO:0048729,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051087,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051704,GO:0060255,GO:0060429,GO:0065007,GO:0070013,GO:0071840,GO:0080090,GO:0097305,GO:0098813,GO:0140014,GO:1901654,GO:1901700,GO:1902494,GO:1902679,GO:1903047,GO:1903506,GO:1903507,GO:1990234,GO:2000112,GO:2000113,GO:2001141","ko:K11456,ko:K11457",-,-,-,"ko00000,ko03036","PHC2_SAM_assoc,SAM_1"
OG0005956,GIFTW,acox1,0.0334286196927844,0.243117234129341,8128.ENSONIP00000022997,0,1312,"COG1960@1|root,KOG0136@2759|Eukaryota,38BTU@33154|Opisthokonta,3BATK@33208|Metazoa,3CV9T@33213|Bilateria,48AZK@7711|Chordata,48V4I@7742|Vertebrata,49ZRG@7898|Actinopterygii",I,acyl-Coenzyme A oxidase,ACOX1,"GO:0000003,GO:0000038,GO:0000166,GO:0001676,GO:0003674,GO:0003824,GO:0003995,GO:0003997,GO:0005102,GO:0005488,GO:0005504,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005777,GO:0005778,GO:0005782,GO:0005829,GO:0005886,GO:0006082,GO:0006091,GO:0006605,GO:0006625,GO:0006629,GO:0006631,GO:0006635,GO:0006690,GO:0006692,GO:0006693,GO:0006810,GO:0006886,GO:0006996,GO:0007031,GO:0007276,GO:0007283,GO:0008104,GO:0008150,GO:0008152,GO:0008289,GO:0009056,GO:0009058,GO:0009062,GO:0009987,GO:0010817,GO:0015031,GO:0015833,GO:0016020,GO:0016042,GO:0016043,GO:0016054,GO:0016137,GO:0016138,GO:0016401,GO:0016491,GO:0016559,GO:0016627,GO:0016634,GO:0017144,GO:0019216,GO:0019222,GO:0019395,GO:0019748,GO:0019752,GO:0019904,GO:0019953,GO:0022414,GO:0030165,GO:0030258,GO:0031090,GO:0031406,GO:0031903,GO:0031907,GO:0031974,GO:0031981,GO:0032501,GO:0032504,GO:0032787,GO:0033036,GO:0033293,GO:0033365,GO:0033539,GO:0033540,GO:0033559,GO:0034440,GO:0034613,GO:0036094,GO:0036109,GO:0042445,GO:0042446,GO:0042579,GO:0042592,GO:0042632,GO:0042802,GO:0042803,GO:0042810,GO:0042811,GO:0042886,GO:0043167,GO:0043168,GO:0043177,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043574,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044428,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0044703,GO:0045184,GO:0046395,GO:0046907,GO:0046983,GO:0047485,GO:0048037,GO:0048232,GO:0048285,GO:0048609,GO:0048878,GO:0050660,GO:0050662,GO:0050789,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051704,GO:0055088,GO:0055092,GO:0055114,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0071949,GO:0072329,GO:0072594,GO:0072662,GO:0072663,GO:0080090,GO:0097159,GO:0098588,GO:0098805,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901568,GO:1901575,GO:1901576,GO:1901657,GO:1901659,GO:1904069,GO:1904070",ko:K00232,"ko00071,ko00592,ko01040,ko01100,ko01110,ko01212,ko03320,ko04024,ko04146,map00071,map00592,map01040,map01100,map01110,map01212,map03320,map04024,map04146","M00087,M00113","R01175,R01279,R03777,R03857,R03990,R04751,R04754,R07888,R07892,R07896,R07934,R07950","ko00000,ko00001,ko00002,ko01000","ACOX,Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_ox_N"
OG0006312,GIFTW,LOC100693082,0.0259863328301925,0.212568550417718,8128.ENSONIP00000004305,0,1110,"COG0534@1|root,KOG1347@2759|Eukaryota,38BY6@33154|Opisthokonta,3BDBR@33208|Metazoa,3CS2M@33213|Bilateria,482BP@7711|Chordata,494GK@7742|Vertebrata,49Z32@7898|Actinopterygii",V,Multidrug and toxin extrusion protein,SLC47A2,"GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006855,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015078,GO:0015238,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015307,GO:0015318,GO:0015491,GO:0015672,GO:0015695,GO:0015893,GO:0016020,GO:0022804,GO:0022857,GO:0022890,GO:0031982,GO:0034220,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0044464,GO:0046618,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0099516,GO:1902600",ko:K03327,-,-,-,"ko00000,ko02000",MatE
OG0006583,GIFTW,spata2l,0.00679268648368766,0.186774222965106,8128.ENSONIP00000013454,0,1011,"2BQ6K@1|root,2S1TH@2759|Eukaryota,39V2M@33154|Opisthokonta,3BKC4@33208|Metazoa,3CXUN@33213|Bilateria,488A7@7711|Chordata,491WG@7742|Vertebrata,4A2Y4@7898|Actinopterygii",S,Spermatogenesis-associated protein 2-like,SPATA2L,-,ko:K17595,"ko04217,map04217",-,-,"ko00000,ko00001,ko01009",-
OG0007083,GIFTW,dnajc21,0.00321221455492603,0.152542426447005,8128.ENSONIP00000009735,0,873,"KOG0717@1|root,KOG0717@2759|Eukaryota,38GN0@33154|Opisthokonta,3BH5Y@33208|Metazoa,3CTFP@33213|Bilateria,486DQ@7711|Chordata,4952Y@7742|Vertebrata,4A0N5@7898|Actinopterygii",O,homolog subfamily C member,DNAJC21,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006457,GO:0008150,GO:0009987,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044444,GO:0044464,GO:1990904",ko:K09506,-,-,-,"ko00000,ko03009,ko03110","DnaJ,zf-C2H2_2,zf-C2H2_jaz"
OG0007486,GIFTW,LOC100692682,0.0126351931973521,0.200328073182781,8128.ENSONIP00000015996,2.76e-127,366,"28IMN@1|root,2QQYK@2759|Eukaryota,394TY@33154|Opisthokonta,3BKE2@33208|Metazoa,3CXHX@33213|Bilateria,48AU2@7711|Chordata,491GS@7742|Vertebrata,49S4J@7898|Actinopterygii",S,Endonuclease domain-containing 1 protein-like,-,-,-,-,-,-,-,Endonuclease_NS
OG0009105,GIFTW,LOC100705115,0.00894558765763273,0.186774222965106,32507.XP_006805833.1,7.6e-26,113,"2CGYC@1|root,2S3MW@2759|Eukaryota,3A4YJ@33154|Opisthokonta,3BS7X@33208|Metazoa,3D3KV@33213|Bilateria,48AKH@7711|Chordata,4914N@7742|Vertebrata,4A40E@7898|Actinopterygii",S,Sarcoplasmic reticulum histidine-rich calcium-binding protein-like,HRC,"GO:0001932,GO:0002027,GO:0003008,GO:0003012,GO:0003674,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0006464,GO:0006807,GO:0006873,GO:0006874,GO:0006875,GO:0006936,GO:0006937,GO:0006942,GO:0007154,GO:0007165,GO:0008016,GO:0008150,GO:0008152,GO:0009966,GO:0009987,GO:0010460,GO:0010522,GO:0010646,GO:0010649,GO:0010880,GO:0010881,GO:0010882,GO:0010959,GO:0012505,GO:0016528,GO:0016529,GO:0019220,GO:0019222,GO:0019538,GO:0019722,GO:0019725,GO:0019899,GO:0019932,GO:0022898,GO:0023051,GO:0023052,GO:0030003,GO:0030016,GO:0030017,GO:0030018,GO:0031323,GO:0031399,GO:0031674,GO:0031974,GO:0032268,GO:0032409,GO:0032412,GO:0032501,GO:0032879,GO:0033018,GO:0033135,GO:0034762,GO:0034765,GO:0035556,GO:0036211,GO:0042325,GO:0042592,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043269,GO:0043292,GO:0043412,GO:0043687,GO:0044057,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044325,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044449,GO:0044464,GO:0045823,GO:0046872,GO:0048518,GO:0048583,GO:0048878,GO:0050789,GO:0050794,GO:0050801,GO:0050848,GO:0050896,GO:0051049,GO:0051117,GO:0051171,GO:0051174,GO:0051239,GO:0051240,GO:0051246,GO:0051279,GO:0051282,GO:0051480,GO:0051481,GO:0051716,GO:0051924,GO:0055065,GO:0055074,GO:0055080,GO:0055082,GO:0055117,GO:0060255,GO:0060314,GO:0060341,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0071704,GO:0072503,GO:0072507,GO:0080090,GO:0090257,GO:0098771,GO:0099080,GO:0099081,GO:0099512,GO:1901019,GO:1901077,GO:1901079,GO:1901564,GO:1901844,GO:1901897,GO:1901899,GO:1902531,GO:1903169,GO:1903522,GO:1903524,GO:1903779,GO:1904062,GO:2001257",-,-,-,-,-,Hist_rich_Ca-bd
